,id,name,url,payments
126,2223,Premiers Grands Crus,https://www.premiersgrandscrus.com/fr/content/10-conditions-generales-de-ventes,"['cartes_bancaires_payments', 'legacy_payments']"
127,1346,Comptoir des Millesimes,,[]
128,22455,Comptoir Mediterraneen,https://www.comptoir-mediterraneen.com/content/4-conditions-generales ,['legacy_payments']
129,29796,Prestige cellar,,[]
130,2278,Einfach Geniessen,,[]
131,19131,Express.wine,,[]
132,493,La Cave Spirituelle,,['legacy_payments']
133,30444,Don Diego,,[]
134,1594,Pavie Wines and Gifts,,[]
135,11870,La Baronnie,,[]
136,556,Aromes,,[]
137,18103,J'adopte un vin,https://www.jadopteunvin.fr/content/3-cgv,"['card_payments', 'platform_payments']"
138,3105,Millesimes et Saveurs,,[]
139,4077,Vinogourmets Les Caves de Diane,,[]
140,6411,Wine2Expert,,[]
141,29580,South World Wines,,[]
142,3483,Vins-fins.com,,[]
143,27371,Bouzigues,,[]
144,1300,La Cave du Marche,https://www.lacavedumarche28.com/fr/content/3-conditions-generales-de-vente,"['card_payments', 'platform_payments']"
145,4093,Pomerol.com,,[]
146,22810,Maison Lemaitre,,[]
147,14447,Weinhandelshaus Siegburg GmbH,,[]
148,1694,Pleasure Wine,,[]
149,23422,La Cave Bordeaux Rive Droite,,[]
150,22736,La Cave de Mauriac,,[]
151,22257,Alavotre,,[]
152,6326,Patrice Vins Selection,,[]
153,30395,Chateaux Prestige,,[]
154,22712,E.Leclerc,,[]
155,22839,MaCave par E.Leclerc,,[]
156,23317,Espace Vin de Saint-Chinian,,[]
157,4987,Cave Des Grands Vins,,[]
158,22759,La Boite a Vins,,[]
159,1633,Nicolas SA,,[]
160,22266,La Cave du Chateau,,['legacy_payments']
161,22811,Le Vingt-Deux,http://www.levingtdeux.com/content/3-conditions-generales-de-ventes,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
162,22908,Via Vinum,,[]
163,6765,La Cave a Millesimes,,[]
164,22983,Cave Delepine,,[]
165,1157,Cave du Connaisseur,,[]
166,2939,Vinadea,,[]
167,23410,Intercaves Reunion,,[]
168,22323,Caviste du Liban,,[]
169,21896,Vivino - France,,"['card_payments', 'platform_payments']"
170,22231,Best French Wines,,[]
171,26212,Delaby,,[]
172,22788,La Boutique du Comptoir,,[]
173,19014,La Bouteille Doree,,[]
174,22905,Punch et Cocktail,,[]
175,22213,Cave Le Vigneron,,[]
176,3951,Cellier du Perigord,,[]
177,3438,La Grande Epicerie de Paris,,[]
178,22919,Rhonissimo,,[]
179,3235,Coste-du-Rhone.com,,[]
180,29014,Phylloxera KG,,[]
181,2768,20surVin,https://www.20survin.com/fr/content/3-conditions-generales-vente,"['card_payments', 'platform_payments']"
182,28981, Les Grands Crus Classés,,[]
183,593,SoDivin,,[]
184,713,Wine & Waters,,[]
185,3159,WineLive Fricke & Khairat OHG,,[]
186,2770,Calais Vins,,[]
187,3600,Cellier des Vignerons,,[]
188,19161,Great Wines Cellar,,[]
189,4641,Stephconti Vins Fins et Rares,https://www.stephconti.com/conditions-generales-de-vente.html ,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
190,13285,Mondovino.com,,[]
191,29137,Les Petites Bouteilles,,[]
192,26334,Special Wine,,[]
193,2888,Planetevin.com,,[]
194,22778,L'Atelier des Bieres,,[]
195,29789,Cavavin UK,,[]
196,21311,La Cave de Phééric,,[]
197,3732,Arche Aux Vins,,[]
198,3304,Le Petit Ballon,,[]
199,2832,Vin10vin,,[]
200,3167,Cave de la Crosse,,[]
201,4391,Hediard,,[]
202,3958,Alsace Vintage,,[]
203,1215,Grands Bourgognes,,['legacy_payments']
204,5092,La Cave Picerie,,[]
205,22518,Direct Chais,https://directchais.com/content/3-conditions-generales-de-vente,['legacy_payments']
206,22228,Caves Notre Dame,,['legacy_payments']
207,29322,DE MOUR,,[]
208,22738,La Cave Littlewood,http://www.littlewood.fr/fr/content/3-conditions-generales-utilisation,"['card_payments', 'platform_payments']"
209,525,Chateau.com,https://www.chateau.fr/content/cgv,"['card_payments', 'platform_payments']"
210,27522,My Vitibox,,[]
211,2096,Qualivino,,[]
212,3095,Porthos Wines,,[]
213,4317,Weinhaus Gallier,,[]
214,4825,World Grands Crus,,[]
215,7247,Henner Marchand de Vin,,[]
216,7490,Olivier Leflaive,,[]
217,22742,Le Chai,,[]
218,1806,Wineshop.it,,[]
219,577,Caves-Direct.com,,[]
220,3747,Chateau La Tour de By,,[]
221,22760,Le Chai de l'Adour,https://www.lechaideladour.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
222,22822,Les Caves Adam,,[]
223,2248,Verygood.fr,,[]
224,5650,Nobles Crus,,[]
225,13290,Cercle de Martillac,,[]
226,22727,GRM Vins,,[]
227,28763,Vinobordo,,[]
228,3550,SARL Andre Claude,,[]
229,28333,Vinsolite,,[]
230,2559,Toulouvin,,[]
231,23200,Chateau Reysson,,[]
232,8472,Mein Wein,,[]
233,22855,Les Caves Lamottoises,,[]
234,22454,CVFwine.com,,[]
235,3422,Bordeaux Caracteres,,[]
236,27792,Les Tannins,,[]
237,3487,Le Vin Devant Soi,https://www.levindevantsoi.com/conditions-generales-de-vente/,"['card_payments', 'legacy_payments', 'platform_payments']"
238,22240,De Vignes En Vin,,[]
239,3371,Cave Gustumo,http://www.cave-gustumo.com/fr/conditions-generales-de-vente.html,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
240,11882,M. Chapoutier,,[]
241,22880,Sommellerie de France,,[]
242,24756,Bouquet Brands,,[]
243,24061,Oltrevino.it,,[]
244,29588,The Best Vintage,,[]
245,2705,Expressions-Fermieres.com,,[]
246,26243,"Normandie Wine Warehouse, Ouistreham",,[]
247,22225,23Vins.com,,[]
248,22751,La Cave des Plaisirs Gourmands,https://lacavedesplaisirsgourmands.fr/content/3-conditions-generales-de-ventes,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
249,28035,Lidl-vins.fr,,[]
250,3412,Athenaeum de la Vigne et du Vin,,[]
251,6184,Wijnhuis Jeuris,,[]
252,23454,The Portugal Collection,,[]
253,29923,Le Vin du Moment,,[]
254,3009,Mon Millesime,,[]
255,22998,Wine & Bee,,[]
256,16967,Invinio,,[]
257,11723,Vini Mediterranee,,[]
258,2856,La Cave du Senat,,[]
259,15752,Vino Iberico,,[]
260,22975,Vins2Bourgogne,,[]
261,22241,Beaujoloire,,[]
262,16316,Cave Vinea,,[]
263,2750,Aux Saveurs de La Tonnelle,,[]
264,6957,TG Vins (Belgium),,[]
265,3295,Ardoneo Wines,https://www.vin-bio-ardoneo.com/PBCPPlayer.asp?ID=2057557,"['card_payments', 'platform_payments']"
266,29752,acowine | all colors of wine,,[]
267,22774,La Bonne Bouteille France,,[]
268,8351,Weinhalt am Weberberg,,[]
269,1903,La Terra Madre,,[]
270,1525,Terroirs du Monde,,[]
271,27810,Vinibee,,[]
272,3638,Clos de Bourgogne,,[]
273,8325,VinNaturel.fr,,[]
274,5883,Pepites De Loire,,[]
275,606,La Vallee des Vins,,[]
