,region_id,name_en,country
1484,2386.0,Cabardès,France
1488,772.0,Minervois,France
1505,2921.0,Vigneti delle Dolomiti,Italia
1519,1556.0,Tumbarumba,Australia
1527,475.0,Victoria,Australia
1533,3254.0,Blaye - Côtes de Bordeaux,France
1544,1756.0,Navarra,España
1547,2236.0,Corton-Charlemagne Grand Cru,France
1556,2585.0,Barbera d'Alba,Italia
1557,82.0,Dry Creek Valley,United States
1558,483.0,Valpolicella,Italia
1561,2671.0,Colline Lucchesi,Italia
1580,2269.0,Beaujolais-Villages,France
1605,3234.0,Soave Classico,Italia
1606,3644.0,Chablis 1er Cru 'Côte de Lechet',France
1638,822.0,Marsannay,France
1657,3246.0,Bourgogne Hautes-Côtes de Nuits,France
1676,482.0,Cornas,France
1684,544.0,Jumilla,España
1714,2306.0,Bourgueil,France
1735,3601.0,Beaune 1er Cru 'Le Clos des Mouches',France
1756,488.0,Umbria,Italia
1760,886.0,Limarí Valley,Chile
1763,477.0,South West France,France
1767,3079.0,Alpilles,France
1773,2389.0,Faugères,France
1802,2231.0,Côte de Beaune Villages,France
1834,2385.0,Minervois La Livinière,France
1841,714.0,Ventoux,France
1848,457.0,Fronsac,France
1866,2390.0,Picpoul de Pinet,France
1869,3224.0,Vaucluse,France
1890,755.0,Patagonia,Argentina
1902,768.0,Arbois,France
1911,,,
1921,1600.0,Perdriel,Argentina
1932,2300.0,Savennières-Coulée-de-Serrant,France
1939,643.0,Savennières,France
1955,2740.0,Castel del Monte,Italia
1962,3154.0,Graach,Deutschland
1987,2775.0,Vesuvio,Italia
1990,3334.0,Sicilia,Italia
