,id,score_normalized,reviewed_at,vintage_id
102,3314045,90,2019-01-23T00:00:00Z,14211755
103,3328857,92,2019-02-12T00:00:00Z,14211755
104,1792793,92,2015-10-30T00:00:00Z,2851231
105,2528577,92,2017-12-01T00:00:00Z,15768459
106,3117570,92,2018-08-31T00:00:00Z,15768459
107,3310588,90,2019-01-08T00:00:00Z,92316257
108,3310589,92,2014-01-01T00:00:00Z,92316257
109,1573405,88,2014-07-24T00:00:00Z,1920864
110,1780846,89,2014-10-31T00:00:00Z,1920864
111,3022881,88,2016-04-01T00:00:00Z,1920864
112,3149723,93,2018-09-30T00:00:00Z,156114360
113,3447856,91,2018-10-08T00:00:00Z,156114360
114,3488824,92,2019-03-29T00:00:00Z,156114360
115,1573591,84,2017-07-24T00:00:00Z,1719364
116,1870958,93,2017-02-28T00:00:00Z,1719364
117,3022796,92,2018-04-01T00:00:00Z,1719364
118,2668985,91,2017-12-29T00:00:00Z,91266628
119,3503715,92,2019-11-18T00:00:00Z,91266628
120,3503716,90,2014-01-01T00:00:00Z,91266628
121,3503841,90,2019-11-21T00:00:00Z,91266628
122,1486596,90,2016-09-08T00:00:00Z,4176483
123,1824345,88,2016-07-29T00:00:00Z,4176483
124,3503473,92,2018-02-28T00:00:00Z,14897931
125,3126303,92,2018-08-31T00:00:00Z,99339024
126,3331205,91,2019-01-31T00:00:00Z,4506651
127,3504358,92,2019-12-16T00:00:00Z,4506651
128,1545510,89,2016-07-19T00:00:00Z,4454098
129,1820256,90,2016-10-28T00:00:00Z,4454098
130,3120014,88,2018-08-31T00:00:00Z,6185296
131,3494424,90,2019-06-28T00:00:00Z,14516822
132,206354,95,2014-04-30T00:00:00Z,1369724
133,3503518,92,2019-11-07T00:00:00Z,150395474
134,3516427,90,2020-07-16T00:00:00Z,150395474
135,1545491,87,2016-07-19T00:00:00Z,4280776
136,1808970,87,2016-12-30T00:00:00Z,4280776
137,3123487,95,2018-08-31T00:00:00Z,107074474
138,1854054,92,2014-10-31T00:00:00Z,2695065
139,3112201,91,2018-08-22T00:00:00Z,2695065
140,3506336,91,2020-04-29T00:00:00Z,159322049
141,2528854,98,2017-12-01T00:00:00Z,2688109
142,2672490,94,2018-01-31T00:00:00Z,2688109
143,3028951,95,2018-06-01T00:00:00Z,2688109
144,3503639,91,2019-11-14T00:00:00Z,2688109
145,3503640,93,2019-11-14T00:00:00Z,2688109
146,3503678,98,2019-11-15T00:00:00Z,2688109
147,3504856,96,2020-01-14T00:00:00Z,2688109
148,226120,93,2015-12-31T00:00:00Z,1492240
149,214997,94,2015-12-31T00:00:00Z,2055140
150,235624,93,2014-06-26T00:00:00Z,1492241
151,1954666,90,2015-12-01T00:00:00Z,1492241
152,1507802,93,2017-07-12T00:00:00Z,2308474
153,3231911,93,2018-12-10T00:00:00Z,2308474
154,3231912,93,2018-12-10T00:00:00Z,2308474
155,3231913,94,2018-12-10T00:00:00Z,2308474
156,1365745,92,2012-04-10T00:00:00Z,1656393
157,2543235,92,2012-04-01T00:00:00Z,1656393
158,2663177,93,2012-04-26T00:00:00Z,1656393
159,3331054,93,2019-01-31T00:00:00Z,14769423
160,3504137,96,2019-12-05T00:00:00Z,14769423
161,3504138,93,2014-01-01T00:00:00Z,14769423
162,3504140,96,2019-12-05T00:00:00Z,14769423
163,3504142,94,2019-12-05T00:00:00Z,14769423
164,3504143,91,2014-01-01T00:00:00Z,14769423
165,3504144,93,2014-01-01T00:00:00Z,14769423
